technology,dst_region,region,agent,sector,type,year,capacity
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2020,2.83820000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2020,13.21360000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2020,15.73650000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2020,9.06660000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2020,7.84620000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2020,14.09660000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2020,9.77620000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2020,1.19330000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2020,0.75690000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2025,1.98680000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2025,61.64510000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2025,11.01550000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2025,6.34660000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2025,5.49230000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2025,9.86760000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2025,6.84330000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2025,0.83530000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2025,0.52980000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2030,1.39070000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2030,58.87020000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2030,38.91900000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2030,7.71090000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2030,4.44260000000
